date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
4/1/2025,DIS,5/2/2025,110,Call,0.17,0.23,0.2536,0.0652,0.0176,-0.0156,0.0362,0.0052
4/1/2025,DIS,5/2/2025,110,Put,12.2,12.65,0.2858,-0.9403,0.0232,-0.0102,0.0341,-0.0242
4/1/2025,DIS,5/2/2025,112,Call,0.02,0.39,0.2855,0.0604,0.0147,-0.0165,0.034,0.0048
4/1/2025,DIS,5/2/2025,112,Put,14.2,14.55,0.2985,-0.9642,0.0184,-0.0063,0.0231,-0.0168
4/1/2025,DIS,5/2/2025,115,Call,0.02,0.2,0.3552,0.0689,0.0131,-0.0225,0.0377,0.0054
4/1/2025,DIS,5/2/2025,115,Put,17.2,18,0.4006,-0.9283,0.0165,-0.0181,0.0399,-0.0316
4/1/2025,DIS,5/16/2025,80,Call,18.5,19.55,0.4656,0.9135,0.01,-0.0416,0.0551,0.0865
4/1/2025,DIS,5/16/2025,80,Put,0.31,0.52,0.4074,-0.0643,0.009,-0.0185,0.0459,-0.0076
4/1/2025,DIS,5/16/2025,85,Call,13.65,15,0.3997,0.8695,0.0156,-0.0456,0.0736,0.087
4/1/2025,DIS,5/16/2025,85,Put,0.87,0.95,0.3899,-0.1283,0.0158,-0.0291,0.073,-0.015
4/1/2025,DIS,5/16/2025,90,Call,9.85,10,0.3653,0.7722,0.0241,-0.0514,0.1037,0.0806
4/1/2025,DIS,5/16/2025,90,Put,1.69,1.8,0.3658,-0.2263,0.0243,-0.0384,0.1024,-0.0258
4/1/2025,DIS,5/16/2025,95,Call,6.35,6.5,0.3357,0.6417,0.0325,-0.0579,0.1285,0.0693
4/1/2025,DIS,5/16/2025,95,Put,3.1,3.3,0.3465,-0.3688,0.0324,-0.0443,0.1287,-0.0401
4/1/2025,DIS,5/16/2025,100,Call,3.7,4.3,0.3434,0.4725,0.0338,-0.0596,0.1367,0.0519
4/1/2025,DIS,5/16/2025,100,Put,5.4,5.6,0.3324,-0.5433,0.0364,-0.0427,0.1353,-0.0541
4/1/2025,DIS,5/16/2025,105,Call,1.96,2.04,0.3207,0.3028,0.0317,-0.0475,0.1199,0.034
4/1/2025,DIS,5/16/2025,105,Put,8.55,9.3,0.34,-0.7046,0.0323,-0.036,0.1181,-0.0614
4/1/2025,DIS,5/16/2025,110,Call,0.95,1,0.3187,0.1745,0.0235,-0.034,0.0883,0.0198
4/1/2025,DIS,5/16/2025,110,Put,12.65,12.95,0.322,-0.8556,0.0263,-0.0197,0.0769,-0.0525
4/1/2025,DIS,5/16/2025,115,Call,0.47,0.5,0.3298,0.0958,0.015,-0.0226,0.0583,0.0109
4/1/2025,DIS,5/16/2025,115,Put,17.3,17.6,0.3356,-0.9387,0.0186,-0.0095,0.042,-0.0334
